name,type_1,type_2,hp,attack,defense,speed,sp_attack,sp_defense,evs,moves,tutor_moves,catch_rate,happiness,abilities,hidden_abilities,height,weight,pokedex,generation,evolutions
Metapod,BUG,,50,20,55,30,25,25,,"0,HARDEN","BUGBITE,ELECTROWEB,IRONDEFENSE,STRINGSHOT",120,50,SHEDSKIN,,0.7,9.9,Its shell is as hard as an iron slab. A Metapod does not move very much because it is preparing its soft innards for evolution inside the shell.,1,"BUTTERFREE,Level,10"
Butterfree,BUG,FLYING,60,45,50,70,90,80,,"0,GUST,1,HARDEN,1,TACKLE,1,STRINGSHOT,1,BUGBITE,4,SUPERSONIC,8,CONFUSION,12,POISONPOWDER,12,STUNSPORE,12,SLEEPPOWDER,16,PSYBEAM,20,WHIRLWIND,24,AIRSLASH,28,SAFEGUARD,32,BUGBUZZ,36,TAILWIND,40,RAGEPOWDER,44,QUIVERDANCE","ACROBATICS,AERIALACE,AIRCUTTER,AIRSLASH,ATTRACT,BATONPASS,BUGBITE,BUGBUZZ,CAPTIVATE,CONFIDE,DEFOG,DOUBLEEDGE,DOUBLETEAM,DRAININGKISS,DREAMEATER,DUALWINGBEAT,ELECTROWEB,ENDURE,ENERGYBALL,FACADE,FLASH,FRUSTRATION,GIGADRAIN,GIGAIMPACT,HIDDENPOWER,HURRICANE,HYPERBEAM,INFESTATION,IRONDEFENSE,MIMIC,NATURALGIFT,OMINOUSWIND,POLLENPUFF,PROTECT,PSYCHIC,PSYCHUP,RAINDANCE,REST,RETURN,ROOST,ROUND,SAFEGUARD,SECRETPOWER,SHADOWBALL,SIGNALBEAM,SILVERWIND,SKILLSWAP,SLEEPTALK,SNORE,SOLARBEAM,STRINGSHOT,STRUGGLEBUG,SUBSTITUTE,SUNNYDAY,SWAGGER,SWIFT,TAILWIND,THIEF,TWISTER,UTURN,VENOSHOCK",45,50,COMPOUNDEYES,TINTEDLENS,1.1,32.0,"It has a superior ability to search for delicious honey from flowers. It can seek, extract, and carry honey from flowers blooming over six miles away.",1,
Weedle,BUG,POISON,40,35,30,50,20,20,,"1,POISONSTING,1,STRINGSHOT,9,BUGBITE","BUGBITE,ELECTROWEB,STRINGSHOT",255,50,SHIELDDUST,RUNAWAY,0.3,3.2,A Weedle has an extremely acute sense of smell. It distinguishes its favorite kinds of leaves from those it dislikes by sniffing with its big red proboscis (nose).,1,"KAKUNA,Level,7"
Kakuna,BUG,POISON,45,25,50,35,25,25,,"0,HARDEN","BUGBITE,ELECTROWEB,IRONDEFENSE,STRINGSHOT",120,50,SHEDSKIN,,0.6,10.0,"It remains virtually immobile while it clings to a tree. However, on the inside, it busily prepares for evolution. This is evident from how hot its shell becomes.",1,"BEEDRILL,Level,10"
Beedrill,BUG,POISON,65,90,40,75,45,80,,"0,FURYATTACK,1,HARDEN,1,POISONSTING,1,STRINGSHOT,1,BUGBITE,11,FURYCUTTER,14,LASERFOCUS,17,POISONSTING,20,FOCUSENERGY,23,VENOSHOCK,26,ASSURANCE,29,TOXICSPIKES,32,PINMISSILE,35,POISONJAB,38,AGILITY,41,ENDEAVOR,44,FELLSTINGER","ACROBATICS,AERIALACE,AIRCUTTER,ATTRACT,BRICKBREAK,BRUTALSWING,BUGBITE,CAPTIVATE,CONFIDE,CUT,DEFOG,DOUBLEEDGE,DOUBLETEAM,DRILLRUN,ELECTROWEB,ENDEAVOR,ENDURE,FACADE,FALSESWIPE,FLASH,FRUSTRATION,FURYCUTTER,GIGADRAIN,GIGAIMPACT,HIDDENPOWER,HYPERBEAM,INFESTATION,KNOCKOFF,LASERFOCUS,MIMIC,NATURALGIFT,OMINOUSWIND,PAYBACK,POISONJAB,PROTECT,REST,RETURN,ROCKSMASH,ROOST,ROUND,SECRETPOWER,SILVERWIND,SLEEPTALK,SLUDGEBOMB,SNORE,SOLARBEAM,STRINGSHOT,STRUGGLEBUG,SUBSTITUTE,SUNNYDAY,SWAGGER,SWIFT,SWORDSDANCE,TAILWIND,THIEF,THROATCHOP,UTURN,VENOSHOCK,XSCISSOR",45,50,SWARM,SNIPER,1.0,29.5,"A Beedrill is extremely territorial. For safety reasons, no one should ever approach its nest. If angered, they will attack in a swarm.",1,
Pidgey,NORMAL,FLYING,40,45,40,56,35,35,,"1,TACKLE,5,SANDATTACK,9,GUST,13,QUICKATTACK,17,WHIRLWIND,21,TWISTER,25,FEATHERDANCE,29,AGILITY,33,WINGATTACK,37,ROOST,41,TAILWIND,45,AERIALACE,49,AIRSLASH,53,HURRICANE","AERIALACE,AIRCUTTER,ATTRACT,CAPTIVATE,CONFIDE,DEFOG,DOUBLEEDGE,DOUBLETEAM,ENDURE,FACADE,FLY,FRUSTRATION,HEATWAVE,HIDDENPOWER,MIMIC,MUDSLAP,NATURALGIFT,OMINOUSWIND,PLUCK,PROTECT,RAINDANCE,REST,RETURN,ROOST,ROUND,SECRETPOWER,SKYATTACK,SLEEPTALK,SNORE,STEELWING,SUBSTITUTE,SUNNYDAY,SWAGGER,SWIFT,TAILWIND,THIEF,TWISTER,UPROAR,UTURN,WORKUP",255,50,"KEENEYE,TANGLEDFEET",BIGPECKS,0.3,1.8,"It has an extremely sharp sense of direction. It can unerringly return home to its nest, however far it may be removed from its familiar surroundings.",1,"PIDGEOTTO,Level,18"
Pidgeotto,NORMAL,FLYING,63,60,55,71,50,50,,"1,TACKLE,1,SANDATTACK,1,GUST,5,SANDATTACK,9,GUST,13,QUICKATTACK,17,WHIRLWIND,22,TWISTER,27,FEATHERDANCE,32,AGILITY,37,WINGATTACK,42,ROOST,47,TAILWIND,52,AERIALACE,57,AIRSLASH,62,HURRICANE","AERIALACE,AIRCUTTER,ATTRACT,CAPTIVATE,CONFIDE,DEFOG,DOUBLEEDGE,DOUBLETEAM,ENDURE,FACADE,FLY,FRUSTRATION,HEATWAVE,HIDDENPOWER,MIMIC,MUDSLAP,NATURALGIFT,OMINOUSWIND,PLUCK,PROTECT,RAINDANCE,REST,RETURN,ROOST,ROUND,SECRETPOWER,SKYATTACK,SLEEPTALK,SNORE,STEELWING,SUBSTITUTE,SUNNYDAY,SWAGGER,SWIFT,TAILWIND,THIEF,TWISTER,UPROAR,UTURN,WORKUP",120,50,"KEENEYE,TANGLEDFEET",BIGPECKS,1.1,30.0,"This Pokémon flies around, patrolling its large territory. If its living space is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.",1,"PIDGEOT,Level,36"
Pidgeot,NORMAL,FLYING,83,80,75,101,70,70,,"1,HURRICANE,1,TACKLE,1,SANDATTACK,1,GUST,1,QUICKATTACK,5,SANDATTACK,9,GUST,13,QUICKATTACK,17,WHIRLWIND,22,TWISTER,27,FEATHERDANCE,32,AGILITY,38,WINGATTACK,44,ROOST,50,TAILWIND,56,AERIALACE,62,AIRSLASH,68,HURRICANE","AERIALACE,AIRCUTTER,ATTRACT,CAPTIVATE,CONFIDE,DEFOG,DOUBLEEDGE,DOUBLETEAM,ENDURE,FACADE,FLY,FRUSTRATION,GIGAIMPACT,HEATWAVE,HIDDENPOWER,HYPERBEAM,LASERFOCUS,MIMIC,MUDSLAP,NATURALGIFT,OMINOUSWIND,PLUCK,PROTECT,RAINDANCE,REST,RETURN,ROOST,ROUND,SECRETPOWER,SKYATTACK,SLEEPTALK,SNORE,STEELWING,SUBSTITUTE,SUNNYDAY,SWAGGER,SWIFT,TAILWIND,THIEF,TWISTER,UPROAR,UTURN,WORKUP",45,50,"KEENEYE,TANGLEDFEET",BIGPECKS,1.5,39.5,"Pidgeot has gorgeous, glossy feathers. Many trainers are so captivated by the beautiful feathers on its head that they choose Pidgeot as their Pokémon.",1,
Rattata,NORMAL,,30,56,35,72,25,35,,"1,TACKLE,1,TAILWHIP,4,QUICKATTACK,7,FOCUSENERGY,10,BITE,13,LASERFOCUS,16,TAKEDOWN,19,ASSURANCE,22,CRUNCH,25,SUCKERPUNCH,28,SUPERFANG,31,DOUBLEEDGE,34,ENDEAVOR","ATTRACT,BLIZZARD,BODYSLAM,CAPTIVATE,CHARGEBEAM,CONFIDE,COUNTER,COVET,CUT,DEFENSECURL,DIG,DOUBLEEDGE,DOUBLETEAM,ENDEAVOR,ENDURE,FACADE,FRUSTRATION,GRASSKNOT,HEADBUTT,HIDDENPOWER,ICEBEAM,ICYWIND,IRONTAIL,LASTRESORT,MIMIC,MUDSLAP,NATURALGIFT,PLUCK,PROTECT,RAINDANCE,REST,RETALIATE,RETURN,ROCKSMASH,ROUND,SECRETPOWER,SHADOWBALL,SHOCKWAVE,SLEEPTALK,SLUDGEBOMB,SNORE,SUBSTITUTE,SUCKERPUNCH,SUNNYDAY,SUPERFANG,SWAGGER,SWIFT,TAUNT,THIEF,THUNDER,THUNDERBOLT,THUNDERWAVE,UPROAR,UTURN,WILDCHARGE,WORKUP,ZENHEADBUTT",255,50,"RUNAWAY,GUTS",HUSTLE,0.3,3.5,"A Rattata is cautious in the extreme. Even while it is asleep, it constantly moves its ears and listens for danger. It will make its nest anywhere.",1,"RATICATE,Level,20"
Raticate,NORMAL,,55,81,60,97,50,70,,"0,SCARYFACE,1,SWORDSDANCE,1,TACKLE,1,TAILWHIP,1,QUICKATTACK,1,FOCUSENERGY,4,QUICKATTACK,7,FOCUSENERGY,10,BITE,13,LASERFOCUS,16,TAKEDOWN,19,ASSURANCE,24,CRUNCH,29,SUCKERPUNCH,34,SUPERFANG,39,DOUBLEEDGE,44,ENDEAVOR","ATTRACT,BLIZZARD,BODYSLAM,CAPTIVATE,CHARGEBEAM,CONFIDE,COUNTER,COVET,CUT,DEFENSECURL,DIG,DOUBLEEDGE,DOUBLETEAM,ENDEAVOR,ENDURE,FACADE,FRUSTRATION,GIGAIMPACT,GRASSKNOT,HEADBUTT,HIDDENPOWER,HYPERBEAM,ICEBEAM,ICYWIND,IRONTAIL,LASTRESORT,MIMIC,MUDSLAP,NATURALGIFT,PLUCK,PROTECT,RAINDANCE,REST,RETALIATE,RETURN,ROAR,ROCKSMASH,ROUND,SECRETPOWER,SHADOWBALL,SHOCKWAVE,SLEEPTALK,SLUDGEBOMB,SNORE,STOMPINGTANTRUM,STRENGTH,SUBSTITUTE,SUCKERPUNCH,SUNNYDAY,SUPERFANG,SWAGGER,SWIFT,SWORDSDANCE,TAUNT,THIEF,THROATCHOP,THUNDER,THUNDERBOLT,THUNDERWAVE,UPROAR,WILDCHARGE,WORKUP,ZENHEADBUTT",127,50,"RUNAWAY,GUTS",HUSTLE,0.7,18.5,"A Raticate's sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.",1,
Spearow,NORMAL,FLYING,40,60,30,70,31,31,,"1,PECK,1,GROWL,4,LEER,8,ASSURANCE,11,FURYATTACK,15,AERIALACE,18,WINGATTACK,22,TAKEDOWN,25,AGILITY,29,FOCUSENERGY,32,ROOST,36,DRILLPECK","AERIALACE,AIRCUTTER,ATTRACT,CAPTIVATE,CONFIDE,DEFOG,DOUBLEEDGE,DOUBLETEAM,DRILLRUN,ECHOEDVOICE,ENDURE,FACADE,FALSESWIPE,FLY,FRUSTRATION,HEATWAVE,HIDDENPOWER,MIMIC,MUDSLAP,NATURALGIFT,OMINOUSWIND,PLUCK,PROTECT,RAINDANCE,REST,RETURN,ROOST,ROUND,SECRETPOWER,SKYATTACK,SLEEPTALK,SNORE,STEELWING,SUBSTITUTE,SUNNYDAY,SWAGGER,SWIFT,TAILWIND,THIEF,TWISTER,UPROAR,UTURN,WORKUP",255,50,KEENEYE,SNIPER,0.3,2.0,"Its loud cry can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.",1,"FEAROW,Level,20"
